split,language,seed,n_examples,sta_supported,sta_input,sta,sta_ci_lo,sta_ci_hi,sim,sim_ci_lo,sim_ci_hi,fl,fl_ci_lo,fl_ci_hi,j,j_ci_lo,j_ci_hi,delta_sta,sta_unvalidated,sta_unvalidated_ci_lo,sta_unvalidated_ci_hi,j_unvalidated,j_unvalidated_ci_lo,j_unvalidated_ci_hi,unique_output_rate,top_output_share,prefix_diversity,template_rate,matches_train_output_fuzzy_rate,empty_rate,sentinel_rate,copy_input_rate,copy_input_rate_loose
dev,en,2024,27,True,0.03748946264386177,0.5554440854391066,0.37042257703268894,0.7404155630252919,0.9060979816648695,0.8783663088524782,0.9330672095771189,0.7041088901348652,0.6277474824397046,0.7782667546574862,0.40229075364502803,0.2509485321936246,0.538788490259209,0.5179546227952448,,,,,,,1.0,0.037037037037037,0.9629629629629628,0.0,0.0,0.0,0.0,0.074074074074074,0.074074074074074
dev,es,42,27,True,0.2981010675430298,0.3016374249429511,0.15357008033622857,0.486208945552978,0.9482450154092577,0.9142458293724943,0.9758479794970265,0.6760109348402009,0.5989621966976882,0.7456708377976117,0.186169215460469,0.07844779058872449,0.30155559471164445,0.0035363573999213083,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
dev,es,1337,27,True,0.2981010675430298,0.3023527138747913,0.1210321722535203,0.4842377273319235,0.9283851716253493,0.893579704121307,0.959040170080132,0.6929980451684912,0.6138708785928895,0.762567428641689,0.18115123916684603,0.08374135099295765,0.28712032895590883,0.004251646331761505,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.2592592592592592,0.2962962962962963
dev,es,2024,27,True,0.2981010675430298,0.4469905432089473,0.2655663730509534,0.6311519390317833,0.9320015554074887,0.8962305152857745,0.9626160929600397,0.6810107043735648,0.6061752814525,0.7478051836261372,0.27573643651384444,0.15591141930501193,0.39300312213935085,0.14888947566591754,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.2592592592592592,0.2962962962962963
dev,hi,42,27,True,0.037517040967941284,0.18633429334322163,0.04017845668220414,0.33272230697076777,0.9417498972680833,0.9151990229884783,0.9647073337877239,0.674222173578014,0.5894524904212036,0.7666560647788835,0.1341729024694678,0.03265960916217177,0.24552154291310527,0.14881725237528035,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.4074074074074074,0.4074074074074074
dev,hi,1337,27,True,0.037517040967941284,0.18947020740489717,0.048570633757238676,0.3362029553054459,0.9111734573487882,0.8507446917670745,0.9529169675376681,0.6413428760706992,0.5508326095868099,0.730854962953599,0.13450416645048066,0.03554148902551103,0.2601549521220715,0.1519531664369559,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.2962962962962963
dev,hi,2024,27,True,0.037517040967941284,0.18846400176968287,0.0736188788044577,0.33407930591083307,0.91039310892423,0.8435651498812217,0.9542814935798999,0.6528525028708522,0.5614347111030421,0.7435998719706394,0.13381154136467838,0.033418264671511766,0.24811268884158494,0.15094696080174158,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.2592592592592592,0.2592592592592592
dev,uk,42,27,True,0.04679989442229271,0.3801182033946841,0.22348602071045512,0.5634540469835715,0.9639625637619583,0.9452804851311225,0.9800861486682185,0.7346968006065931,0.6450756632416254,0.8129250705136296,0.2990611448274575,0.1550052581084261,0.45369761339230164,0.3333183089723914,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4074074074074074
dev,uk,1337,27,True,0.04679989442229271,0.3429534292027475,0.16134903485613503,0.5185007764575723,0.9708446705782855,0.9577603800429239,0.9835932025202999,0.7372398332776406,0.6509817007097195,0.8135061769341861,0.2598186174742969,0.11543554333283335,0.42298814934344053,0.2961535347804548,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.3703703703703703,0.3703703703703703
dev,uk,2024,27,True,0.04679989442229271,0.37036448396867383,0.18666722393078358,0.5542439420269618,0.9607250226868523,0.9353878016825076,0.9812935835233441,0.7182939822501992,0.6295531714702874,0.7928897594761778,0.28047349168165936,0.1256015812133021,0.4394628443577412,0.3235645895463811,,,,,,,1.0,0.037037037037037,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4444444444444444
dev,xh,42,27,False,,,,,0.4266632718068582,0.33549188823887593,0.5245290721870132,0.20137673626257235,0.17220840034315907,0.2335687904417067,,,,,0.7570033705431141,0.6222698056966894,0.8623245528155368,0.0622159914699164,0.04028661279206389,0.08843260212672628,0.5555555555555556,0.2592592592592592,0.2592592592592592,0.0,0.0,0.0,0.0,0.037037037037037,0.037037037037037
dev,xh,1337,27,False,,,,,0.34678373568587834,0.26598259209206815,0.4383907451121895,0.19753336793796894,0.1672507099953075,0.22978782320356891,,,,,0.9235128118070187,0.8128369950154727,0.9989619181663901,0.05976489738399894,0.03868232708317366,0.08433528088635306,0.5555555555555556,0.4444444444444444,0.1481481481481481,0.0,0.0,0.0,0.0,0.037037037037037,0.037037037037037
dev,xh,2024,27,False,,,,,0.36488981462187237,0.2865448685431923,0.46091130637322303,0.18140309718801706,0.1519861218616986,0.21559667844069003,,,,,0.9252425954866879,0.8145105459136648,0.9991229154445507,0.06542036795631676,0.0422520482706122,0.09259107308250512,0.3333333333333333,0.6666666666666666,0.1481481481481481,0.0,0.0,0.0,0.0,0.037037037037037,0.037037037037037
dev,yo,42,27,False,,,,,0.42009884532954955,0.30798178673894316,0.541812689119467,0.2707380962125692,0.18821557168087077,0.3534480298420752,,,,,0.9193187387125498,0.8071372708616157,0.9948005892060422,0.11491365965910923,0.0635598364917716,0.17188577307703964,0.6666666666666666,0.2962962962962963,0.5555555555555556,0.0,0.037037037037037,0.0,0.0,0.1111111111111111,0.1111111111111111
dev,yo,1337,27,False,,,,,0.4007088637186421,0.2776289098240711,0.5262225849346982,0.2846328041910526,0.20555157135302116,0.3692661599945662,,,,,0.6539333141063927,0.4723011585935536,0.8133732038170651,0.11518008642404605,0.06307037869632813,0.17938539304867665,0.7407407407407407,0.2222222222222222,0.5555555555555556,0.0,0.074074074074074,0.0,0.0,0.1111111111111111,0.1111111111111111
dev,yo,2024,27,False,,,,,0.4334690628780259,0.3360387256368995,0.5379183629665661,0.26049365147387404,0.18746646482491675,0.3489789791760718,,,,,0.9485050780284736,0.8614120148743193,0.9950702534229667,0.12194349235003234,0.0727448645141948,0.1817771871922703,0.6296296296296297,0.3333333333333333,0.5925925925925926,0.0,0.074074074074074,0.0,0.0,0.074074074074074,0.074074074074074
